228937#2014-11-07 17:32:05#228692#2014-11-08 04:40:06#2971341#0.111086263144265#0106000020E6100000010000000103000000010000000A000000D4509B1F3C7B6040E8F9B2388CC946403DB665C0597B604071344FC7C6CA4640FB14D71A867B604008756168A6CA4640AEB25B708B7B604035A760C7DECA46400A6A53D0087C60409A34571781CA4640222345A7037C604081BD01C34ACA46401C7086B0547C6040934B0C970FCA46405BD9788F377C604099A0E128D4C84640B0027CB7B97B604076B0D55030C94640D4509B1F3C7B6040E8F9B2388CC94640#0101000020E610000076AD4671C87B604090AFFFB1DDC94640#Дальневосточный#Приморский край#Ханкайский#нет данных#2014-11-08#f
228939#2014-11-07 17:32:05#228898#2014-11-07 17:32:05#1307072#0.2291#0106000020E6100000010000000103000000010000000500000078073E27396D6040EB0EB5AF34AD46407B4FA398556D6040DBBD60606BAE4640CFCDABF8CE6D6040082847E013AE46400ADA05FFB26D60400630E1A7DCAC464078073E27396D6040EB0EB5AF34AD4640#0101000020E61000005E7A012D846D604098BC8F0AA4AD4640#Дальневосточный#Приморский край#Ханкайский#нет данных#2014-11-08#f
228939#2014-11-07 17:32:05#228224#2014-11-08 01:19:05#1307072#0.2291#0106000020E6100000010000000103000000010000000500000078073E27396D6040EB0EB5AF34AD46407B4FA398556D6040DBBD60606BAE4640CFCDABF8CE6D6040082847E013AE46400ADA05FFB26D60400630E1A7DCAC464078073E27396D6040EB0EB5AF34AD4640#0101000020E61000005E7A012D846D604098BC8F0AA4AD4640#Дальневосточный#Приморский край#Ханкайский#нет данных#2014-11-08#f
228939#2014-11-07 17:32:05#228224#2014-11-08 02:56:52#1307072#0.2291#0106000020E6100000010000000103000000010000000500000078073E27396D6040EB0EB5AF34AD46407B4FA398556D6040DBBD60606BAE4640CFCDABF8CE6D6040082847E013AE46400ADA05FFB26D60400630E1A7DCAC464078073E27396D6040EB0EB5AF34AD4640#0101000020E61000005E7A012D846D604098BC8F0AA4AD4640#Дальневосточный#Приморский край#Ханкайский#нет данных#2014-11-08#f
228940#2014-11-07 17:32:05#228230#2014-11-07 17:32:05#1263338#0.1309#0106000020E61000000100000001030000000100000005000000A62A0A4772636040E2F93527E98E46400CF7DBE88D636040F1D2F2A81D9046400157CB00046460400A89EE38C98F4640A1A6F166E8636040498E4B87948E4640A62A0A4772636040E2F93527E98E4640#0101000020E6100000281BF326BB636040BDF9AE20598F4640#Дальневосточный#Приморский край#Пограничный#нет данных#2014-11-08#f
228940#2014-11-07 17:32:05#212970#2014-11-08 01:19:05#1263338#0.1309#0106000020E61000000100000001030000000100000005000000A62A0A4772636040E2F93527E98E46400CF7DBE88D636040F1D2F2A81D9046400157CB00046460400A89EE38C98F4640A1A6F166E8636040498E4B87948E4640A62A0A4772636040E2F93527E98E4640#0101000020E6100000281BF326BB636040BDF9AE20598F4640#Дальневосточный#Приморский край#Пограничный#нет данных#2014-11-08#f
228940#2014-11-07 17:32:05#212970#2014-11-08 02:56:52#1263338#0.1309#0106000020E61000000100000001030000000100000005000000A62A0A4772636040E2F93527E98E46400CF7DBE88D636040F1D2F2A81D9046400157CB00046460400A89EE38C98F4640A1A6F166E8636040498E4B87948E4640A62A0A4772636040E2F93527E98E4640#0101000020E6100000281BF326BB636040BDF9AE20598F4640#Дальневосточный#Приморский край#Пограничный#нет данных#2014-11-08#f
228940#2014-11-07 17:32:05#212970#2014-11-08 04:40:06#1263338#0.1309#0106000020E61000000100000001030000000100000005000000A62A0A4772636040E2F93527E98E46400CF7DBE88D636040F1D2F2A81D9046400157CB00046460400A89EE38C98F4640A1A6F166E8636040498E4B87948E4640A62A0A4772636040E2F93527E98E4640#0101000020E6100000281BF326BB636040BDF9AE20598F4640#Дальневосточный#Приморский край#Пограничный#нет данных#2014-11-08#f
228941#2014-11-07 17:32:05#228617#2014-11-07 17:32:05#2838638#\N#0106000020E61000000100000001030000000100000007000000E916D3AF817C604007A2BCC94E6F46404C60A5489F7C6040D557DB3D8E704640BDBB00C11D7D6040B8F6919D2F704640BF5AFFF89C7D60405A057B5DD06F4640E1270EA07F7D6040CE00B439906E4640B8990280007D6040E52FA9B1EF6E4640E916D3AF817C604007A2BCC94E6F4640#0101000020E61000004F36206C0F7D6040281E06608F6F4640#Дальневосточный#Приморский край#Ханкайский#лесной#2014-11-08#f
228941#2014-11-07 17:32:05#227615#2014-11-08 01:19:05#2838638#\N#0106000020E61000000100000001030000000100000007000000E916D3AF817C604007A2BCC94E6F46404C60A5489F7C6040D557DB3D8E704640BDBB00C11D7D6040B8F6919D2F704640BF5AFFF89C7D60405A057B5DD06F4640E1270EA07F7D6040CE00B439906E4640B8990280007D6040E52FA9B1EF6E4640E916D3AF817C604007A2BCC94E6F4640#0101000020E61000004F36206C0F7D6040281E06608F6F4640#Дальневосточный#Приморский край#Ханкайский#лесной#2014-11-08#f
228941#2014-11-07 17:32:05#227615#2014-11-08 02:56:52#2838638#\N#0106000020E61000000100000001030000000100000007000000E916D3AF817C604007A2BCC94E6F46404C60A5489F7C6040D557DB3D8E704640BDBB00C11D7D6040B8F6919D2F704640BF5AFFF89C7D60405A057B5DD06F4640E1270EA07F7D6040CE00B439906E4640B8990280007D6040E52FA9B1EF6E4640E916D3AF817C604007A2BCC94E6F4640#0101000020E61000004F36206C0F7D6040281E06608F6F4640#Дальневосточный#Приморский край#Ханкайский#лесной#2014-11-08#f
228941#2014-11-07 17:32:05#227615#2014-11-08 04:40:06#2838638#\N#0106000020E61000000100000001030000000100000007000000E916D3AF817C604007A2BCC94E6F46404C60A5489F7C6040D557DB3D8E704640BDBB00C11D7D6040B8F6919D2F704640BF5AFFF89C7D60405A057B5DD06F4640E1270EA07F7D6040CE00B439906E4640B8990280007D6040E52FA9B1EF6E4640E916D3AF817C604007A2BCC94E6F4640#0101000020E61000004F36206C0F7D6040281E06608F6F4640#Дальневосточный#Приморский край#Ханкайский#лесной#2014-11-08#f
228942#2014-11-07 17:32:05#228544#2014-11-07 17:32:05#1432184#\N#0106000020E6100000010000000103000000010000000500000054967C470879604011E50B5AC8494640ABB28C6025796040F0E3E455084B4640857289C0A47960408C85DF55A84A46405A617E978779604066CF12226849464054967C470879604011E50B5AC8494640#0101000020E6100000F921528256796040BA7C834A384A4640#Дальневосточный#Приморский край#Пограничный#нелесной#2014-11-08#f
228942#2014-11-07 17:32:05#228544#2014-11-07 17:32:05#1432184#\N#0106000020E6100000010000000103000000010000000500000054967C470879604011E50B5AC8494640ABB28C6025796040F0E3E455084B4640857289C0A47960408C85DF55A84A46405A617E978779604066CF12226849464054967C470879604011E50B5AC8494640#0101000020E6100000F921528256796040BA7C834A384A4640#Дальневосточный#Приморский край#Ханкайский#нелесной#2014-11-08#f
228943#2014-11-07 17:32:05#228915#2014-11-07 17:32:05#1556864#0.1477#0106000020E61000000100000001030000000100000005000000A058C067188A60402F283E04763F464037A328C8368A60407596D54BBE4046406A462F38BD8A604039FEB8BB56404640F9EAD3BF9E8A604034364B340E3F4640A058C067188A60402F283E04763F4640#0101000020E6100000D904EBCC6A8A60401F076E51E63F4640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228624#2014-11-07 17:32:05#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Черниговский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228624#2014-11-07 17:32:05#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228624#2014-11-07 17:32:05#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Михайловский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 01:19:05#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Черниговский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 01:19:05#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 01:19:05#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Михайловский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 02:56:52#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 02:56:52#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Черниговский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 02:56:52#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Михайловский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 04:40:06#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Черниговский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 04:40:06#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Хорольский#нелесной#2014-11-08#f
228944#2014-11-07 17:32:05#228213#2014-11-08 04:40:06#10055968#0.653266152642573#0106000020E6100000010000000103000000010000000E000000EA4207B8BB8960402CFA9EECC1134640E389FFBFDA896040ACAC0A600C15464047FAFE17F989604086B7FFAF57164640C8685700178A6040003817FBA217464073DD31C89F8A6040479029A33A1746406D201B50288B6040A6581C6BD21646407B72A7AA1F8B6040C1EE6B657516464057F31420478B60406F42297356164640B47BEA3F288B6040D682E68C0B15464040334DE5008B604014D3E0852A154640110DFFA7EA8A60402386FCB73B1446409394ECBFCB8A604049D3E284F012464010500A88438A604032B7B56459134640EA4207B8BB8960402CFA9EECC1134640#0101000020E61000001C04DD2C7A8A6040E006BB994F154640#Дальневосточный#Приморский край#Михайловский#нелесной#2014-11-08#f
228946#2014-11-07 17:32:05#228349#2014-11-07 17:32:05#1386079#0.0608#0106000020E61000000100000001030000000100000005000000B78A7227406860403CB92A790AE9454013DEB3E85C686040ACE5AD3E47EA454001BBDC58D7686040581D7BEEEBE945400B8500C7BB686040B9269309AEE84540B78A7227406860403CB92A790AE94540#0101000020E61000003679F6078C68604025744CA87AE94540#Дальневосточный#Приморский край#Уссурийский#лесной#2014-11-08#f
228946#2014-11-07 17:32:05#228349#2014-11-08 04:40:06#1386079#0.0608#0106000020E61000000100000001030000000100000005000000B78A7227406860403CB92A790AE9454013DEB3E85C686040ACE5AD3E47EA454001BBDC58D7686040581D7BEEEBE945400B8500C7BB686040B9269309AEE84540B78A7227406860403CB92A790AE94540#0101000020E61000003679F6078C68604025744CA87AE94540#Дальневосточный#Приморский край#Уссурийский#лесной#2014-11-08#f
228947#2014-11-07 17:32:05#228947#2014-11-07 17:32:05#1338624#0.001#0106000020E61000000100000001030000000100000005000000544CCE1EA2616040BCCB8798790C46404D05AAB9BB61604039CE3317B40D46402FA1A3D13462604083CF204F5C0D4640BCFEA8761B6260409C6DB068210C4640544CCE1EA2616040BCCB8798790C4640#0101000020E6100000A69BBC88EB6160403CD9DAC9EA0C4640#Дальневосточный#Приморский край#Октябрьский#нет данных#2014-11-08#f
228948#2014-11-07 17:32:05#228948#2014-11-07 17:32:05#2967677#0.0563#0106000020E610000001000000010300000001000000070000004FAB6C48B1A76040667DD2A221924740D4E87A47D2A760400854413D6493474061E3763F59A8604043693545FC924740D60F7F87E1A860400E4B244D9392474083F96D80C0A860406047F33250914740BBD2536038A860404887EA5AB99147404FAB6C48B1A76040667DD2A221924740#0101000020E61000009B1CCF6E49A8604058B8DD525A924740#Дальневосточный#Хабаровский край#Бикинский#нет данных#2014-11-08#f
228948#2014-11-07 17:32:05#228715#2014-11-08 03:06:14#2967677#0.0563#0106000020E610000001000000010300000001000000070000004FAB6C48B1A76040667DD2A221924740D4E87A47D2A760400854413D6493474061E3763F59A8604043693545FC924740D60F7F87E1A860400E4B244D9392474083F96D80C0A860406047F33250914740BBD2536038A860404887EA5AB99147404FAB6C48B1A76040667DD2A221924740#0101000020E61000009B1CCF6E49A8604058B8DD525A924740#Дальневосточный#Хабаровский край#Бикинский#нет данных#2014-11-08#f
228948#2014-11-07 17:32:05#228715#2014-11-08 04:40:06#2967677#0.0563#0106000020E610000001000000010300000001000000070000004FAB6C48B1A76040667DD2A221924740D4E87A47D2A760400854413D6493474061E3763F59A8604043693545FC924740D60F7F87E1A860400E4B244D9392474083F96D80C0A860406047F33250914740BBD2536038A860404887EA5AB99147404FAB6C48B1A76040667DD2A221924740#0101000020E61000009B1CCF6E49A8604058B8DD525A924740#Дальневосточный#Хабаровский край#Бикинский#нет данных#2014-11-08#f
228949#2014-11-07 17:32:05#228949#2014-11-07 17:32:05#1669723#\N#0106000020E610000001000000010300000001000000050000009E531C493AC36040F6D786E52AA74740064CE0D65DC3604045376F5A78A847403CB7D806F1C36040887D655201A84740F5912959CDC3604086FC96ADB3A647409E531C493AC36040F6D786E52AA74740#0101000020E6100000DBD4FDA295C3604039B7A01296A74740#Дальневосточный#Хабаровский край#Вяземский#нет данных#2014-11-08#f
228950#2014-11-07 17:32:05#225526#2014-11-07 17:32:05#3403951#0.0227#0106000020E610000001000000010300000001000000070000009857097120B76040157FEBF5342847405881107F43B76040E68CEE418429474011D20957D6B76040FEF6D0990F294740C6F6FF1669B86040A5DAC8F19A284740FA9408F945B86040AA132BFE4A2747404B8C0A41B3B760405C3B0FF6BF2747409857097120B76040157FEBF534284740#0101000020E6100000F9C083CCC4B76040D55DA3C367284740#Дальневосточный#Приморский край#Пожарский#нет данных#2014-11-08#f
228950#2014-11-07 17:32:05#225526#2014-11-08 01:19:05#3403951#0.0227#0106000020E610000001000000010300000001000000070000009857097120B76040157FEBF5342847405881107F43B76040E68CEE418429474011D20957D6B76040FEF6D0990F294740C6F6FF1669B86040A5DAC8F19A284740FA9408F945B86040AA132BFE4A2747404B8C0A41B3B760405C3B0FF6BF2747409857097120B76040157FEBF534284740#0101000020E6100000F9C083CCC4B76040D55DA3C367284740#Дальневосточный#Приморский край#Пожарский#нет данных#2014-11-08#f
228950#2014-11-07 17:32:05#225526#2014-11-08 02:56:52#3403951#0.0227#0106000020E610000001000000010300000001000000070000009857097120B76040157FEBF5342847405881107F43B76040E68CEE418429474011D20957D6B76040FEF6D0990F294740C6F6FF1669B86040A5DAC8F19A284740FA9408F945B86040AA132BFE4A2747404B8C0A41B3B760405C3B0FF6BF2747409857097120B76040157FEBF534284740#0101000020E6100000F9C083CCC4B76040D55DA3C367284740#Дальневосточный#Приморский край#Пожарский#нет данных#2014-11-08#f
228950#2014-11-07 17:32:05#225526#2014-11-08 03:06:14#3403951#0.0227#0106000020E610000001000000010300000001000000070000009857097120B76040157FEBF5342847405881107F43B76040E68CEE418429474011D20957D6B76040FEF6D0990F294740C6F6FF1669B86040A5DAC8F19A284740FA9408F945B86040AA132BFE4A2747404B8C0A41B3B760405C3B0FF6BF2747409857097120B76040157FEBF534284740#0101000020E6100000F9C083CCC4B76040D55DA3C367284740#Дальневосточный#Приморский край#Пожарский#нет данных#2014-11-08#f
228950#2014-11-07 17:32:05#225526#2014-11-08 04:40:06#3403951#0.0227#0106000020E610000001000000010300000001000000070000009857097120B76040157FEBF5342847405881107F43B76040E68CEE418429474011D20957D6B76040FEF6D0990F294740C6F6FF1669B86040A5DAC8F19A284740FA9408F945B86040AA132BFE4A2747404B8C0A41B3B760405C3B0FF6BF2747409857097120B76040157FEBF534284740#0101000020E6100000F9C083CCC4B76040D55DA3C367284740#Дальневосточный#Приморский край#Пожарский#нет данных#2014-11-08#f
228951#2014-11-07 17:32:05#228581#2014-11-07 17:32:05#3451682#0.0725#0106000020E61000000100000001030000000100000007000000D6E4C6806EB260409BB3999E0BE246404C8D4C9790B26040B2DA57795DE3464081B7591F23B36040BFB02579E8E2464099EE3BA7B5B360403C74305173E2464012D794D893B36040A288FB7E20E14640BE30BA3801B3604024BAC21696E14640D6E4C6806EB260409BB3999E0BE24640#0101000020E610000060D2AD3212B36040AB8BF42F3FE24640#Дальневосточный#Приморский край#Лесозаводский#нелесной#2014-11-08#f
228951#2014-11-07 17:32:05#228581#2014-11-07 17:32:05#3451682#0.0725#0106000020E61000000100000001030000000100000007000000D6E4C6806EB260409BB3999E0BE246404C8D4C9790B26040B2DA57795DE3464081B7591F23B36040BFB02579E8E2464099EE3BA7B5B360403C74305173E2464012D794D893B36040A288FB7E20E14640BE30BA3801B3604024BAC21696E14640D6E4C6806EB260409BB3999E0BE24640#0101000020E610000060D2AD3212B36040AB8BF42F3FE24640#Дальневосточный#Приморский край#Дальнереченский#нелесной#2014-11-08#f
228951#2014-11-07 17:32:05#228581#2014-11-08 03:06:14#3451682#0.0725#0106000020E61000000100000001030000000100000007000000D6E4C6806EB260409BB3999E0BE246404C8D4C9790B26040B2DA57795DE3464081B7591F23B36040BFB02579E8E2464099EE3BA7B5B360403C74305173E2464012D794D893B36040A288FB7E20E14640BE30BA3801B3604024BAC21696E14640D6E4C6806EB260409BB3999E0BE24640#0101000020E610000060D2AD3212B36040AB8BF42F3FE24640#Дальневосточный#Приморский край#Лесозаводский#нелесной#2014-11-08#f
228951#2014-11-07 17:32:05#228581#2014-11-08 03:06:14#3451682#0.0725#0106000020E61000000100000001030000000100000007000000D6E4C6806EB260409BB3999E0BE246404C8D4C9790B26040B2DA57795DE3464081B7591F23B36040BFB02579E8E2464099EE3BA7B5B360403C74305173E2464012D794D893B36040A288FB7E20E14640BE30BA3801B3604024BAC21696E14640D6E4C6806EB260409BB3999E0BE24640#0101000020E610000060D2AD3212B36040AB8BF42F3FE24640#Дальневосточный#Приморский край#Дальнереченский#нелесной#2014-11-08#f
228951#2014-11-07 17:32:05#228581#2014-11-08 04:40:06#3451682#0.0725#0106000020E61000000100000001030000000100000007000000D6E4C6806EB260409BB3999E0BE246404C8D4C9790B26040B2DA57795DE3464081B7591F23B36040BFB02579E8E2464099EE3BA7B5B360403C74305173E2464012D794D893B36040A288FB7E20E14640BE30BA3801B3604024BAC21696E14640D6E4C6806EB260409BB3999E0BE24640#0101000020E610000060D2AD3212B36040AB8BF42F3FE24640#Дальневосточный#Приморский край#Лесозаводский#нелесной#2014-11-08#f
228951#2014-11-07 17:32:05#228581#2014-11-08 04:40:06#3451682#0.0725#0106000020E61000000100000001030000000100000007000000D6E4C6806EB260409BB3999E0BE246404C8D4C9790B26040B2DA57795DE3464081B7591F23B36040BFB02579E8E2464099EE3BA7B5B360403C74305173E2464012D794D893B36040A288FB7E20E14640BE30BA3801B3604024BAC21696E14640D6E4C6806EB260409BB3999E0BE24640#0101000020E610000060D2AD3212B36040AB8BF42F3FE24640#Дальневосточный#Приморский край#Дальнереченский#нелесной#2014-11-08#f
228952#2014-11-07 17:32:05#228952#2014-11-07 17:32:05#4107328#0.103237004736506#0106000020E6100000010000000103000000010000000A000000D6C86C981AA460400F5B82A51DB64640B73DB8502AA4604023C3816ABDB646405C2F7690F1A36040DC7E7D9DE9B6464045CB898F12A460401FA6750237B84640FA71878FA0A460405E7B6EBAC8B74640BD8C83C72EA560402B6E582A5AB74640645A7AB80DA56040D0E1AD350CB646405E08D644B8A46040B5BEF4D14EB6464008397338A8A46040D8ED9A2DACB54640D6C86C981AA460400F5B82A51DB64640#0101000020E610000053D5A1B088A460401EC1CACCF3B64640#Дальневосточный#Приморский край#Лесозаводский#нелесной#2014-11-08#f
228954#2014-11-07 17:32:05#228920#2014-11-07 17:32:05#5992645#0.3076#0106000020E61000000100000001030000000100000007000000FEC02C1F0F076140E6DDE4F904694640CA59D06246076140C771542C866A4640DBB07D331708614011DD7903C8694640657FC95BE8086140CC400A4309694640E700A00EB4086140A51BBC0A84674640B60CFE9FDF07614053635B6946684640FEC02C1F0F076140E6DDE4F904694640#0101000020E6100000FE508B8FFC076140E89FBBD405694640#Дальневосточный#Приморский край#Тернейский#лесной#2014-11-08#f
228954#2014-11-07 17:32:05#228920#2014-11-08 01:19:05#5992645#0.3076#0106000020E61000000100000001030000000100000007000000FEC02C1F0F076140E6DDE4F904694640CA59D06246076140C771542C866A4640DBB07D331708614011DD7903C8694640657FC95BE8086140CC400A4309694640E700A00EB4086140A51BBC0A84674640B60CFE9FDF07614053635B6946684640FEC02C1F0F076140E6DDE4F904694640#0101000020E6100000FE508B8FFC076140E89FBBD405694640#Дальневосточный#Приморский край#Тернейский#лесной#2014-11-08#f
228954#2014-11-07 17:32:05#228920#2014-11-08 03:06:14#5992645#0.3076#0106000020E61000000100000001030000000100000007000000FEC02C1F0F076140E6DDE4F904694640CA59D06246076140C771542C866A4640DBB07D331708614011DD7903C8694640657FC95BE8086140CC400A4309694640E700A00EB4086140A51BBC0A84674640B60CFE9FDF07614053635B6946684640FEC02C1F0F076140E6DDE4F904694640#0101000020E6100000FE508B8FFC076140E89FBBD405694640#Дальневосточный#Приморский край#Тернейский#лесной#2014-11-08#f
