228523#2014-11-06 14:21:52#228173#2014-11-06 20:03:38#4287965#2.48083354378119#0106000020E6100000010000000103000000010000000A0000007B87E31CC28A59402528498878674B406E4163E4F48A594053DEF90BDE664B4065A318C597895940FCA15F7C4D664B405138132A678959402B6881EBE5664B405352EDF4FF8859409B1B574CBA664B4061E423319A8859401B76E7A204684B40CEF5A6B7F989594011154FE298684B4092DC2FD9578B594060660A632C694B400F67D9EEB98B59400431F934E1674B407B87E31CC28A59402528498878674B40#0101000020E61000000BF75F6B2B8A5940E320FDD9BF674B40#Сибирский#Иркутская обл.#Куйтунский#лесной#2014-11-07#f
228525#2014-11-06 14:21:52#228525#2014-11-06 14:21:52#3513661#0.1857#0106000020E61000000100000001030000000100000007000000583ABC732A795940499937FBC1704B40A9EE57228C7A5940FD9AB4C257714B401ED1B141EE7B5940EC82878AED714B40E5DCDC4E517C5940E4E5C0DD9F704B407721469DF37A5940890B1F950B704B40113F18DB9879594093C53F64786F4B40583ABC732A795940499937FBC1704B40#0101000020E6100000146E7A74C07A5940E4E3955FB2704B40#Сибирский#Иркутская обл.#Куйтунский#лесной#2014-11-07#f
228525#2014-11-06 14:21:52#228525#2014-11-07 03:50:45#3513661#0.1857#0106000020E61000000100000001030000000100000007000000583ABC732A795940499937FBC1704B40A9EE57228C7A5940FD9AB4C257714B401ED1B141EE7B5940EC82878AED714B40E5DCDC4E517C5940E4E5C0DD9F704B407721469DF37A5940890B1F950B704B40113F18DB9879594093C53F64786F4B40583ABC732A795940499937FBC1704B40#0101000020E6100000146E7A74C07A5940E4E3955FB2704B40#Сибирский#Иркутская обл.#Куйтунский#лесной#2014-11-07#f
228525#2014-11-06 14:21:52#228525#2014-11-07 05:28:26#3513661#0.1857#0106000020E61000000100000001030000000100000007000000583ABC732A795940499937FBC1704B40A9EE57228C7A5940FD9AB4C257714B401ED1B141EE7B5940EC82878AED714B40E5DCDC4E517C5940E4E5C0DD9F704B407721469DF37A5940890B1F950B704B40113F18DB9879594093C53F64786F4B40583ABC732A795940499937FBC1704B40#0101000020E6100000146E7A74C07A5940E4E3955FB2704B40#Сибирский#Иркутская обл.#Куйтунский#лесной#2014-11-07#f
228525#2014-11-06 14:21:52#228525#2014-11-07 05:42:26#3513661#0.1857#0106000020E61000000100000001030000000100000007000000583ABC732A795940499937FBC1704B40A9EE57228C7A5940FD9AB4C257714B401ED1B141EE7B5940EC82878AED714B40E5DCDC4E517C5940E4E5C0DD9F704B407721469DF37A5940890B1F950B704B40113F18DB9879594093C53F64786F4B40583ABC732A795940499937FBC1704B40#0101000020E6100000146E7A74C07A5940E4E3955FB2704B40#Сибирский#Иркутская обл.#Куйтунский#лесной#2014-11-07#f
228526#2014-11-06 14:21:52#147917#2014-11-06 14:21:52#3773525#0.7535#0106000020E610000001000000010300000001000000070000007326F1E2528359404A200CD9CCF44A40C494CCDABB845940674B142966F54A406D3404F0248559402C23FD0F13F44A40E776CCCC8E8559404A06C246C0F24A40040B163D2684594081E0F95E26F24A40F3EB03A0BC835940680EFF9F79F34A407326F1E2528359404A200CD9CCF44A40#0101000020E61000001641D4D270845940CAB4A665C6F34A40#Сибирский#Иркутская обл.#Зиминский#нелесной#2014-11-07#f
228527#2014-11-06 14:21:52#228527#2014-11-06 14:21:52#2976374#0.349#0106000020E61000000100000001030000000100000007000000C5ACD526E70A5A405545025743E24A40BBCC5598230C5A402E55ABA7BDE24A40E14F430A540D5A40A4D46F7033E34A40A9F9A6C0B40D5A4014E0A230FBE14A404DE75818810C5A40168B9DF883E14A406E2C8B36450B5A409CADF68F09E14A40C5ACD526E70A5A405545025743E24A40#0101000020E6100000DBAB07414D0C5A404E9EABB91EE24A40#Сибирский#Иркутская обл.#Осинский#лесной#2014-11-07#f
228528#2014-11-06 14:21:52#228528#2014-11-06 14:21:52#3093402#0.0623#0106000020E61000000100000001030000000100000007000000B9C9E2DD95005A403F6D75B56CB54A40AAA2F45CD1015A40A6B41FA5E9B54A404D8A2C250D035A4066D54A9566B64A4014A6D69863035A400A2EF3A925B54A4004ABA8C925025A401B43639AA7B44A40AEF09141EC005A402B936D222BB44A40B9C9E2DD95005A403F6D75B56CB54A40#0101000020E6100000468D729EFC015A4033AC3D0049B54A40#Сибирский#Иркутская обл.#Осинский#нелесной#2014-11-07#f
228529#2014-11-06 14:21:52#228410#2014-11-06 14:21:52#1451623#0.0038#0106000020E61000000100000001030000000100000005000000FC913BCF4C245A40C99C1D5FB1834A401496F40775255A40C39C7F3F25844A40815F2349D0255A409A94E598EA824A40DED1F701A5245A4011A34A4175824A40FC913BCF4C245A40C99C1D5FB1834A40#0101000020E6100000AFA9CBD70D255A40007EAC554D834A40#Сибирский#Иркутская обл.#Эхирит-Булагатский#лесной#2014-11-07#f
228530#2014-11-06 14:21:52#228530#2014-11-06 14:21:52#1620771#0.2561#0106000020E61000000100000001030000000100000005000000E472D59FB1FF594047A08F6C8D574A40CF2A96CFF0005A40D0A1881C0D584A40DCCCF0B84B015A40CA30B45BC7564A40A33616B90C005A40F35BCF6B47564A40E472D59FB1FF594047A08F6C8D574A40#0101000020E610000085D89EB17E005A402A5702542A574A40#Сибирский#Иркутская обл.#Иркутский#лесной#2014-11-07#f
